Document ID,Remote ID,Filename,Received At,Processed At,Table Data,Table Data 1,Table Data 2,Table Data 3,Table Data 4,Table Data 5,Table Data 6,Table Data 7
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL MAR HEIGHTS RD,CARMEL CANYON RD,SEAGROVE ST,2200 N,14600 E,14600 N,14600 N,9700
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL SOL BLVD,BEYER BLVD,BEYER WAY,8600 N,8600,8100,8100 N,8100 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL SOL BLVD,BEYER WAY,PICADOR BLVD,7900 N,7900,10000,10000 N,10000 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL SOL BLVD,PICADOR BLVD,PICCARD AVE,13700 N,13700,13700,13700 N,13700 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL SOL BLVD,PICCARD AVE,TWINING AVE,10100,10100,10100 N,8800,8800 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL SOL BLVD,TWINING AVE,INTERSTATE 805,7700 N,7700 N,7700 N,7700 N,7700 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DEL SOL BLVD,INTERSTATE 805,END,7700 N,7700,7700 N,7700 N,7700 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DELTA ST,VESTA ST,43RD ST,2200 N,2000,2000 N,2000 N,1900
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,City of San Diego,,,,,,,
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,Primary Street,1st Cross Street,2nd Cross Street,2009,2010,2011,2012,2013
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DENVER ST,GESNER ST,CLAIREMONT DR,5900 N,5900,5500,5500 N,5500 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DENVER ST,CLAIREMONT DR,INGULF ST,9000,9000,9000 N,9000 N,9000 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DENVER ST,INGULF ST,MILTON ST,3100 N,3100,3100 N,3100 N,3100 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,DERRICK DR,TRIANA ST,CHATEAU DR,3400 N,3400,3400 N,3400 N,3400 N
